person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length
64,46000,3,2.0,4,4800,11.09,0.1,24
26,26000,2,0.0,0,8500,16.45,0.33,3
23,51000,0,3.0,4,16000,13.11,0.31,3
22,56004,0,6.0,3,6000,7.88,0.11,4
24,79000,3,3.0,4,7000,12.54,0.09,3
27,75000,0,11.0,2,10000,10.99,0.13,7
26,45000,0,0.0,2,4000,13.92,0.09,2
34,65200,0,13.0,5,8000,6.92,0.12,7
22,36000,3,1.0,1,5000,12.68,0.14,4
39,80000,0,18.0,3,5600,13.43,0.07,17
39,76000,0,8.0,2,5000,6.03,0.07,14
21,45000,0,4.0,1,5000,7.14,0.11,4
23,78000,0,7.0,1,6150,7.88,0.08,2
34,20000,3,5.0,3,5000,8.9,0.25,5
27,38000,3,11.0,1,3200,12.42,0.08,5
32,54996,3,4.0,5,15000,6.54,0.27,5
40,57000,3,1.0,1,3000,10.0,0.05,14
29,58800,0,7.0,0,5000,11.71,0.09,6
26,129996,3,6.0,4,25000,10.75,0.19,3
26,80000,3,5.0,0,25000,13.61,0.31,4
24,96000,0,2.0,5,4200,10.99,0.04,4
23,37000,3,5.0,0,5500,15.31,0.15,2
21,15000,3,0.0,4,3600,15.95,0.24,2
30,270000,0,14.0,0,21000,11.26,0.08,6
39,33100,3,3.0,0,8000,14.26,0.24,12
26,35000,3,5.0,5,7000,10.99,0.2,4
26,122500,3,1.0,2,10000,10.65,0.08,2
28,225000,0,11.0,1,9000,16.95,0.04,8
21,69000,3,3.0,3,15000,8.49,0.22,2
34,51000,3,1.0,3,6000,5.99,0.12,6
28,80000,3,0.0,3,15000,13.49,0.19,5
22,39000,0,6.0,1,10750,10.99,0.28,4
44,67000,0,28.0,2,3000,10.99,0.04,14
41,43000,3,0.0,5,7000,7.43,0.16,13
26,12000,2,2.0,1,6100,7.51,0.51,3
24,54400,3,8.0,3,35000,14.27,0.55,4
40,30000,3,2.0,5,10625,10.99,0.35,17
24,102000,0,5.0,3,12000,15.27,0.12,3
21,24960,0,0.0,4,2000,13.99,0.08,3
25,46000,3,9.0,3,7000,8.49,0.15,3
23,65000,3,0.0,3,6000,9.63,0.09,3
23,30873,0,8.0,1,4200,10.99,0.14,4
30,43000,3,3.0,5,15000,10.99,0.35,8
30,50000,3,6.0,3,10000,10.99,0.2,5
23,51873,3,2.0,5,2500,10.99,0.05,3
29,36000,3,4.0,1,6000,5.99,0.17,6
23,61200,3,4.0,3,20000,11.14,0.28,2
22,110000,0,6.0,4,2800,8.49,0.03,4
31,58000,0,15.0,2,6000,9.32,0.1,5
22,35000,3,3.0,0,5000,7.88,0.14,3
24,98000,0,8.0,4,6500,11.11,0.07,3
29,96000,3,3.0,2,6400,11.49,0.07,8
27,31200,3,4.0,3,10000,8.0,0.32,9
22,32000,3,3.0,0,5600,7.9,0.17,3
25,90000,0,9.0,5,20000,6.54,0.22,3
24,70000,0,2.0,4,12000,17.56,0.17,3
24,50000,3,6.0,2,16000,13.99,0.32,2
25,32000,0,8.0,0,5600,7.9,0.17,3
23,40000,3,7.0,5,1500,13.99,0.04,2
25,100505,2,9.0,2,35000,11.99,0.35,3
23,60000,3,2.0,1,12000,10.99,0.2,3
22,66960,3,1.0,5,23400,7.49,0.35,2
23,58977,3,7.0,0,14400,10.99,0.24,4
24,94837,3,8.0,2,9600,11.99,0.1,2
24,78500,0,8.0,5,6000,7.49,0.08,4
22,60000,3,3.0,1,7000,6.91,0.12,4
23,67450,3,8.0,1,4000,6.76,0.06,3
27,40700,0,8.0,1,20400,10.99,0.5,8
27,24840,2,0.0,3,11500,8.49,0.46,6
30,27396,3,0.0,3,5000,10.99,0.18,5
23,73164,0,7.0,5,1000,10.36,0.01,2
23,76000,3,7.0,0,25000,16.02,0.33,4
37,14400,3,2.0,4,6950,7.66,0.48,13
21,27200,3,0.0,1,5000,10.99,0.18,3
24,70000,0,6.0,2,25000,10.99,0.36,3
23,25200,3,1.0,1,5500,7.9,0.22,2
27,72000,2,4.0,1,8000,11.09,0.11,9
28,26400,3,7.0,4,5000,13.11,0.19,6
26,47000,3,1.0,1,5000,7.14,0.11,4
24,52000,0,3.0,5,3500,6.76,0.07,3
26,150000,0,8.0,3,35000,15.96,0.23,3
27,68000,0,3.0,5,10800,7.88,0.16,8
24,40000,3,3.0,1,6000,6.62,0.15,3
23,43500,3,2.0,4,10400,13.49,0.24,4
24,24000,3,0.0,2,7750,17.27,0.32,3
23,78000,0,7.0,1,2400,12.42,0.03,2
28,31200,3,5.0,3,15000,11.83,0.48,9
30,62500,0,8.0,3,15000,6.91,0.24,10
23,62500,0,1.0,3,9600,13.22,0.15,3
21,44000,3,6.0,5,10000,14.74,0.23,3
24,51992,0,9.0,4,15000,13.98,0.29,3
38,67870,0,6.0,3,5000,10.99,0.07,13
29,72500,0,2.0,3,7000,13.79,0.1,8
26,50000,3,1.0,5,12000,10.99,0.24,4
33,71000,0,11.0,4,6000,14.72,0.08,7
26,55000,3,7.0,3,10000,8.59,0.18,3
38,20640,3,2.0,3,3500,12.61,0.17,16
24,45840,3,2.0,0,4800,7.49,0.1,2
38,95000,0,5.0,1,4000,9.63,0.04,12
35,66000,3,0.0,2,18000,9.99,0.27,8
25,74000,0,9.0,1,18000,7.9,0.24,2
26,250000,0,10.0,1,15000,7.49,0.06,2
29,34000,0,0.0,3,10200,17.27,0.3,5
32,17040,3,4.0,1,2500,7.51,0.15,10
25,19200,2,2.0,5,1000,10.99,0.05,3
34,77000,0,18.0,1,15000,11.14,0.19,6
28,30000,0,8.0,0,3000,7.29,0.1,5
24,75000,2,2.0,4,8500,11.36,0.11,4
28,29004,3,0.0,4,4000,16.45,0.14,10
41,57000,0,11.0,4,10000,7.51,0.18,12
24,108000,1,5.0,1,10000,9.7,0.09,4
36,50000,0,2.0,3,16000,13.48,0.32,15
31,101000,3,2.0,1,7500,13.22,0.07,5
24,24000,3,1.0,3,8500,7.9,0.35,2
41,90000,3,0.0,5,5000,14.26,0.06,13
24,115500,0,8.0,2,10000,7.75,0.09,4
22,78000,3,3.0,5,10000,12.42,0.13,2
32,70000,2,12.0,5,3000,7.49,0.04,5
24,40000,3,1.0,3,3000,14.22,0.07,4
22,75000,3,3.0,1,10600,10.99,0.14,3
40,34560,0,3.0,3,10000,10.99,0.29,12
24,115800,0,5.0,4,12000,10.99,0.1,3
21,67000,0,5.0,1,25000,15.65,0.37,2
23,63719,0,0.0,3,3500,7.9,0.05,3
45,140000,3,10.0,1,8175,5.99,0.06,17
23,29120,2,0.0,1,6400,8.94,0.22,4
26,108000,0,2.0,3,18500,12.18,0.17,2
29,140000,0,4.0,3,24000,7.88,0.17,5
25,109000,0,5.0,4,15000,10.25,0.14,2
23,105000,0,5.0,1,15000,16.82,0.14,4
37,89532,3,9.0,3,6600,12.53,0.07,12
28,35000,3,4.0,4,10000,16.77,0.29,8
21,15360,3,0.0,0,1600,12.69,0.1,3
23,60000,3,2.0,0,12000,12.69,0.2,2
24,78000,0,0.0,2,5000,6.62,0.06,4
33,35000,2,4.0,5,10000,8.49,0.29,5
25,60000,0,9.0,1,12000,7.9,0.2,3
21,42000,0,5.0,1,7000,15.23,0.17,4
28,55000,3,2.0,3,3900,11.99,0.07,10
22,50000,0,6.0,5,10000,10.99,0.2,4
36,81000,0,9.0,2,6000,12.99,0.07,17
32,113000,3,5.0,2,12000,16.29,0.11,5
21,53000,3,5.0,1,10000,7.51,0.19,4
21,53876,0,4.0,4,2700,14.72,0.05,4
21,40000,0,5.0,4,5000,6.62,0.13,2
24,75000,3,8.0,4,12000,10.99,0.16,4
24,90000,3,2.0,1,11000,11.14,0.12,3
38,18720,2,22.0,5,2500,11.86,0.13,15
28,16000,3,2.0,0,5000,16.45,0.31,7
30,40000,3,8.0,0,16000,11.48,0.4,8
31,33000,2,6.0,0,5000,14.96,0.15,6
23,65025,0,7.0,3,16000,14.35,0.21,3
24,34000,0,1.0,4,5100,14.35,0.15,4
21,15600,3,2.0,1,1500,11.86,0.1,2
25,56000,0,4.0,4,5000,5.42,0.09,4
24,65000,0,3.0,1,12000,9.91,0.18,4
22,74500,0,6.0,5,8000,15.96,0.11,3
31,80000,3,1.0,3,9600,9.91,0.12,7
25,195054,0,9.0,2,10000,10.59,0.05,2
28,110000,0,1.0,3,12000,8.94,0.11,7
25,36000,3,4.0,5,15000,9.63,0.42,3
28,57000,2,7.0,4,3500,11.83,0.06,6
23,8000,3,0.0,1,3250,10.99,0.41,4
43,175436,3,1.0,2,7000,5.99,0.04,12
23,78500,0,7.0,0,4800,7.14,0.06,4
44,25209,3,6.0,3,2000,10.99,0.08,13
28,55704,0,12.0,1,8400,7.51,0.15,6
24,54000,3,5.0,4,10000,10.37,0.19,2
23,48000,0,3.0,5,12000,11.36,0.25,3
22,83000,0,6.0,0,5500,11.99,0.07,4
28,15000,3,0.0,3,1800,11.49,0.12,7
25,46000,0,4.0,1,2125,12.99,0.05,2
26,21600,3,9.0,5,7200,10.38,0.33,3
23,24000,3,0.0,1,6250,12.53,0.26,3
23,21000,3,6.0,1,7500,6.91,0.36,2
32,65000,3,4.0,3,6000,7.49,0.09,5
31,54200,3,4.0,5,7500,12.61,0.14,10
23,55000,3,7.0,5,9600,7.49,0.17,2
29,75000,0,3.0,4,4000,10.75,0.05,9
23,58800,3,7.0,4,3000,10.36,0.05,4
23,63750,0,2.0,3,15000,12.87,0.2,4
26,100000,0,5.0,1,24000,10.99,0.24,4
22,60000,0,3.0,0,15000,7.49,0.25,4
22,57600,0,6.0,5,6000,10.74,0.1,3
28,35000,3,5.0,5,4250,16.96,0.12,6
22,61000,3,3.0,3,5000,9.99,0.08,2
28,48000,3,7.0,4,4000,14.35,0.08,10
23,56000,0,7.0,5,7200,6.03,0.13,2
33,80000,3,0.0,3,25000,11.86,0.31,8
26,65000,3,1.0,5,3000,5.79,0.05,2
27,72000,0,5.0,3,11500,6.91,0.16,10
23,51996,3,7.0,0,4000,13.98,0.08,2
29,55000,3,6.0,2,7450,15.62,0.14,8
26,37225,3,4.0,4,2500,10.99,0.07,3
27,35520,3,1.0,5,7000,14.91,0.2,8
25,38496,0,7.0,2,8000,6.03,0.21,3
26,55000,0,4.0,4,10000,7.51,0.18,2
24,64151,3,0.0,5,5000,11.86,0.08,2
53,95000,2,24.0,4,6000,5.42,0.06,30
24,48500,3,5.0,3,8000,15.96,0.16,3
22,48000,3,7.0,0,10000,17.99,0.21,4
26,85000,0,10.0,2,4800,11.59,0.06,2
25,44400,0,6.0,5,14125,12.99,0.32,2
23,92000,0,4.0,1,15600,16.35,0.17,3
32,62400,0,7.0,0,20000,12.53,0.32,6
31,98000,2,7.0,3,5000,15.96,0.05,7
35,106800,0,4.0,0,8000,6.92,0.07,9
40,55000,3,14.0,2,18000,7.88,0.33,14
29,61848,2,13.0,5,5000,10.38,0.08,10
23,55000,3,5.0,4,4000,11.86,0.07,4
33,24000,0,2.0,0,6000,10.25,0.25,6
29,65000,3,5.0,1,7500,12.69,0.12,10
24,50000,0,8.0,1,3000,7.66,0.06,2
22,50000,3,7.0,3,4250,12.69,0.09,4
22,30000,3,4.0,0,3200,15.62,0.11,4
25,42000,3,3.0,3,3200,15.7,0.08,2
22,19200,0,3.0,1,5000,15.33,0.26,2
23,59497,3,0.0,3,20000,16.0,0.29,3
34,105000,3,0.0,4,8000,8.38,0.08,8
23,80000,0,7.0,4,4000,7.51,0.05,3
24,110000,0,5.0,5,15000,10.25,0.14,4
22,65000,0,6.0,5,17000,8.94,0.26,2
33,96000,0,0.0,0,8000,13.72,0.08,5
46,140000,3,12.0,5,3725,10.99,0.03,17
25,45000,3,4.0,0,15000,10.99,0.33,3
27,42000,3,4.0,0,8500,9.99,0.2,8
41,38200,3,4.0,3,8875,19.03,0.23,11
21,42000,1,5.0,0,12000,14.26,0.29,4
23,36000,0,6.0,4,14000,12.99,0.39,3
42,316800,0,3.0,4,19400,10.99,0.06,13
31,73000,3,8.0,1,35000,19.29,0.48,10
35,30000,3,2.0,1,3000,12.53,0.1,5
27,47000,3,0.0,0,24000,17.14,0.51,5
23,28800,0,6.0,3,5000,11.99,0.17,4
32,55000,3,0.0,4,8000,10.0,0.15,9
39,54000,3,4.0,0,12000,14.22,0.22,12
25,50000,0,9.0,2,8000,10.0,0.16,2
26,34988,3,9.0,2,15000,13.98,0.43,2
26,72000,3,0.0,0,10000,5.79,0.14,3
24,36000,0,8.0,2,6000,7.14,0.17,4
27,51298,3,11.0,0,1000,10.37,0.02,7
24,49000,0,0.0,3,5000,12.18,0.1,3
23,51036,0,7.0,1,15000,13.16,0.29,4
27,55000,3,11.0,1,10000,14.27,0.18,7
27,38000,0,11.0,0,5000,9.76,0.13,5
22,32500,3,0.0,3,12000,11.49,0.37,2
40,132000,0,7.0,2,7500,7.29,0.06,15
24,43000,0,8.0,0,10000,16.89,0.23,2
28,82500,3,4.0,5,11000,16.35,0.13,8
24,40800,2,0.0,5,14400,14.35,0.35,2
47,86000,3,0.0,2,9000,12.87,0.1,13
22,58000,1,3.0,0,15000,13.79,0.26,4
24,41628,3,6.0,0,6000,11.28,0.14,2
23,55000,0,5.0,4,15000,6.17,0.27,2
29,54000,0,9.0,0,12000,9.32,0.22,7
28,75000,0,5.0,3,16800,6.03,0.22,8
27,55000,3,11.0,0,13000,8.88,0.24,6
28,150000,0,4.0,1,20000,10.99,0.13,8
45,89000,3,5.0,4,19200,10.99,0.22,12
29,125000,0,6.0,2,6400,12.87,0.05,9
24,56000,3,2.0,5,6650,12.69,0.12,2
21,35000,3,3.0,1,1500,5.79,0.04,2
27,98004,3,8.0,5,10000,6.54,0.1,7
22,50400,3,3.0,5,2000,10.99,0.04,4
26,66000,0,7.0,4,4000,11.99,0.06,2
26,73200,3,5.0,5,27050,15.62,0.37,2
25,58750,0,6.0,2,6000,15.33,0.1,3
33,85000,3,11.0,1,5000,7.9,0.06,8
24,60000,3,2.0,0,25000,10.99,0.42,2
41,268000,0,0.0,4,24000,10.37,0.09,11
28,95000,0,12.0,1,35000,9.63,0.37,5
25,80000,0,9.0,0,13000,6.54,0.16,3
32,140000,0,16.0,5,25000,10.08,0.18,7
32,86700,0,16.0,3,20000,14.74,0.2,9
22,100000,0,0.0,0,20000,11.83,0.2,2
28,100000,0,4.0,5,20000,11.48,0.2,5
27,35000,3,5.0,3,10375,14.27,0.3,5
28,80000,0,6.0,2,4400,10.99,0.06,5
24,120000,3,8.0,1,25000,10.65,0.21,4
23,117696,0,2.0,3,15000,6.03,0.13,4
28,50400,3,8.0,1,18500,16.02,0.37,5
24,62000,3,3.0,5,8000,11.14,0.13,4
26,30000,3,11.0,3,5000,10.99,0.17,2
29,64500,3,5.0,3,10000,8.94,0.16,7
37,79992,0,2.0,4,9000,10.99,0.11,14
23,27864,3,0.0,3,4600,6.03,0.17,3
26,138000,0,4.0,1,18000,16.4,0.13,3
27,24000,3,3.0,4,8000,10.99,0.33,8
22,60000,0,6.0,3,6125,6.17,0.1,2
23,45000,0,4.0,1,9925,11.48,0.22,2
25,69000,3,9.0,4,25000,17.49,0.36,2
22,52000,0,0.0,1,6400,11.34,0.12,4
21,57000,3,3.0,4,3000,5.42,0.05,3
47,48000,3,14.0,0,2500,14.65,0.05,17
35,85000,3,1.0,0,3600,7.51,0.04,6
26,48000,0,9.0,4,8000,10.59,0.17,4
23,33000,2,5.0,5,3600,11.58,0.11,4
23,19200,3,0.0,4,3000,9.99,0.16,3
32,37000,3,1.0,3,15000,9.62,0.41,10
24,75000,2,8.0,2,29800,10.99,0.4,4
30,43000,3,1.0,3,3200,8.0,0.07,5
30,54000,0,3.0,1,5000,12.61,0.09,10
22,42996,3,3.0,1,4000,10.99,0.09,4
26,204000,0,10.0,3,15250,14.35,0.07,3
22,62900,3,6.0,3,20000,14.91,0.27,4
